IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seongnam-si,-2.49,clear sky
174.217.10.111,United States,,-1.83,few clouds
187.121.176.91,Brazil,Rosario do Sul,23,moderate rain
176.114.85.116,Germany,Frankfurt am Main,6.41,clear sky
174.59.204.133,United States,Lancaster,13.92,overcast clouds
54.209.112.174,United States,Ashburn,18.02,scattered clouds
109.185.143.49,Moldova,Chisinau,2.74,clear sky
176.114.253.216,Czechia,Prague,1.37,broken clouds
210.171.87.76,Japan,Kariya,3.81,clear sky
24.169.250.142,United States,San Marcos,21.39,broken clouds
